"fitted","normalized_residual","dataset_id","condition","model"
0.0186237803014179,-0.142489025079541,"D001","C5","random_forest"
0.0219991180837134,-0.554816375461424,"D001","C5","random_forest"
0.0243960010453954,-0.624218191448374,"D001","C5","random_forest"
0.00181417441320627,-0.0662674688791922,"D002","C2","gradient_boosted_trees"
-0.00280889907613174,0.0889041733990168,"D002","C2","gradient_boosted_trees"
-0.00608902191756463,0.218198201347516,"D002","C2","gradient_boosted_trees"
-0.00693121825837907,0.229178886459292,"D002","C3","gradient_boosted_trees"
-0.00845087490392819,0.299013138611741,"D002","C3","gradient_boosted_trees"
-0.00952908845292257,0.304760037077056,"D002","C3","gradient_boosted_trees"
0.00571447420373229,-0.187992098443504,"D002","C4","gradient_boosted_trees"
-0.00145591276571107,-0.0259572831676387,"D002","C4","gradient_boosted_trees"
-0.00654338328389046,0.194898516581477,"D002","C4","gradient_boosted_trees"
0.0378412576076613,-1.2510307978521,"D002","C5","gradient_boosted_trees"
0.0412263656704583,-1.35436874886219,"D002","C5","gradient_boosted_trees"
0.0436281380634577,-1.45598722560222,"D002","C5","gradient_boosted_trees"
-0.00125687426039799,0.0388736872160172,"D002","C2","logistic_regression"
-0.005879947749736,0.206839660488988,"D002","C2","logistic_regression"
-0.00916007059116889,0.310713486192456,"D002","C2","logistic_regression"
-0.00410094994765896,0.122678850217461,"D002","C3","logistic_regression"
-0.00562060659320808,0.20010210282012,"D002","C3","logistic_regression"
-0.00669882014220245,0.224911353538215,"D002","C3","logistic_regression"
0.0113598146110327,-0.412539520198909,"D002","C4","logistic_regression"
0.00418942764158938,-0.126553274767142,"D002","C4","logistic_regression"
-0.000898042876590007,0.0168912954318748,"D002","C4","logistic_regression"
-0.0123562589479279,0.40085190564618,"D002","C5","logistic_regression"
-0.0089711508851308,0.252720195899889,"D002","C5","logistic_regression"
-0.00656937849213143,0.221931617368665,"D002","C5","logistic_regression"
-0.00483244015311723,0.129098570130871,"D002","C2","random_forest"
-0.00945551364245524,0.296919065982889,"D002","C2","random_forest"
